;title;price;discounted_price;has_discount;post link;image link;review score;score
0;Llavero Proximidad 125khz Tag Rfid Arduino Acceso Gimnasios;1348.0;1348.0;False;https://www.mercadolibre.com.ar/llavero-proximidad-125khz-tag-rfid-arduino-acceso-gimnasios/p/MLA27227637#searchVariation=MLA27227637&position=15&search_layout=stack&type=product&tracking_id=e9ce510b-49ad-428f-8c68-a4597a340a2a;https://http2.mlstatic.com/D_NQ_NP_661321-MLU71834608824_092023-V.webp;;0.07412898443291327
1;Rueda De Goma De 66 Mm Para Motor De Robotica Arduino;1643.0;1429.0;True;https://www.mercadolibre.com.ar/rueda-de-goma-de-66-mm-para-motor-de-robotica-arduino/p/MLA32489076#searchVariation=MLA32489076&position=6&search_layout=stack&type=product&tracking_id=e9ce510b-49ad-428f-8c68-a4597a340a2a;https://http2.mlstatic.com/D_NQ_NP_787339-MLU74355073996_022024-V.webp;;0.12165450121654502
2;Lote Mini Conectores De 4 Contactos Arduino Placa;1648.0;1648.0;False;https://articulo.mercadolibre.com.ar/MLA-1106223596-lote-mini-conectores-de-4-contactos-arduino-placa-_JM#position=49&search_layout=stack&type=item&tracking_id=e9ce510b-49ad-428f-8c68-a4597a340a2a;https://http2.mlstatic.com/D_NQ_NP_896295-MLA47719890556_092021-V.webp;;0.06064281382656155
3;Teclado Membrana Matricial 4x4 Autoadhesivo Arduino;1900.0;1653.0;True;https://www.mercadolibre.com.ar/teclado-membrana-matricial-4x4-autoadhesivo-arduino/p/MLA32492378#searchVariation=MLA32492378&position=16&search_layout=stack&type=product&tracking_id=c3602e15-05e4-4359-9c6f-90ee99d03330;https://http2.mlstatic.com/D_NQ_NP_727805-MLU75254876353_032024-V.webp;;0.10520778537611783
4;Cable Usb A Mini Usb Ideal Arduino Nano;2299.0;2299.0;False;https://articulo.mercadolibre.com.ar/MLA-767434457-cable-usb-a-mini-usb-ideal-arduino-nano-_JM#position=36&search_layout=stack&type=item&tracking_id=e9ce510b-49ad-428f-8c68-a4597a340a2a;https://http2.mlstatic.com/D_NQ_NP_822376-MLA29209318315_012019-V.webp;;0.043478260869565216
5;Cable Usb A Mini Usb Ideal Arduino Nano;2299.0;2299.0;False;https://articulo.mercadolibre.com.ar/MLA-767434485-cable-usb-a-mini-usb-ideal-arduino-nano-_JM#position=39&search_layout=stack&type=item&tracking_id=e9ce510b-49ad-428f-8c68-a4597a340a2a;https://http2.mlstatic.com/D_NQ_NP_822376-MLA29209318315_012019-V.webp;;0.043478260869565216
6;Adaptador Paralelo-serie I2c MÃ¡s Entradas En Tu Arduino Ptec;2300.0;2300.0;False;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oT23OnF4YW7%2F7mq00uNPAoqTqsNybtRxB68FYYsrIw40d6PeGHaD4L5sI2AnC8M895LWM7Ea%2FxDquakDepQm5lIk0gib5x4KQ2AlYck%2BEROitZXh1lgXWydk4gEOvCR2Qc1ERWiVluz2fgauf8Xtlo0%2Fs1FnD3%2B4oh1BsO%2F3cDtvXIsTClpZPBLIyNtKnN%2B3tgeDSmk1ErASl1AwAipanhFvNCpVprXcZjLckmBZlaiVKDjNxF42I0yS%2BiI%2F5WSxW%2F9859r0W7T5IsRT3c%2BHR3ysfzYaYccam%2FgSwvayS6CuK%2Fz4Tp13egj0oelQHdzkyIc9IfSg2k5aXkAiYXXZOVgdYSYVZbl4AMsYGlhxRgufO%2BHhFnx8RjM7XgMovUXwpUpHmSh1NZw4iPNblORNTcqTRVg0H0YclOpZ8rfJOGKiR48jlex9cYOe6YUZEW1UEi%2FHBtPm%2FrOfz%2FUHO1vMjI7bptOSRRiep8a1B7F8qlD1cABE0D8oRVj01T5sgqMiaIIKg2zrZ5oYRxmvFTgPqAYl43w8upMk%2BI5l%2BsAwuHZd1TbUwN8%2FBODCvLQTBKm%2F339dnYVGMw6U%2B7yPiCaU8KCypRjlvtjjcwSsZCZs%2B7Z%2FuW%2BJ%2BaLuehVsHUb5okE6%2FCtO%2Bib8%2BbeVLacXWyTEafCyb5kclHxqrGlhwtkI%2BEV4gs4V1ahJdeMlwyye9oSLnRp19EjZO7RzHOzjLAjTwHN4PC%2BAjQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x;https://http2.mlstatic.com/D_NQ_NP_923813-MLA31124983697_062019-V.webp;;0.0434593654932638
7;Cristal Cuarzo 16mhz Bajo Perfil Hc49/s Arduino Nubbeo;2323.0;2206.0;True;https://articulo.mercadolibre.com.ar/MLA-1132726534-cristal-cuarzo-16mhz-bajo-perfil-hc49s-arduino-nubbeo-_JM#position=27&search_layout=stack&type=item&tracking_id=8b1c4d17-1e01-4e0b-9e79-87bfc24c396a;https://http2.mlstatic.com/D_NQ_NP_721942-MLA49702565729_042022-V.webp;;0.08605851979345955
8;Cristal Cuarzo 16mhz Bajo Perfil Hc49/s Arduino Nubbeo;2323.0;2206.0;True;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=z0lLkf15cskQQqTlYgHgxL8q%2FEtVkfqCK%2FWTPBL6vroE6TZJoW7JI4ZHCCE1ExPMNxOVL11JK5XVDJJ1k%2BTod8ptW7VZe52%2FuXgFgAf4Hi6tQ7SKOxysZs8Qqz36%2F0jnkU%2BcbMsu%2Bbtj4%2BCUOcOShg8CoPLwTqbzcW9%2F76bjQYK%2FlIOPQzopVpgKwVzhI41Z7%2Bdqcv2%2BI0U5zfYS2pwQEwSgPLgcjkW8ATwmOmzY4zcw%2FsWENxDjhdfuvGA35EcwrYKIgeoSgMXKjRz%2BvWgAamHpPlixhmIlMSviwaSHT59Hhg2ESMCBbknH8VlQlM%2FRD3xRz6fwzDmm7%2Bv9piZEoFqmENkMSYG0SjXFn9QdSRJdpna0AjZa2%2BnWx5aeQtN97ED%2FxcLtrG%2FsRWQSefiAMXVBdTARvENO%2FBauXqm79%2F4FjdsWvejFzeyYGAPEl5YRtD9XuHa3hkhDJwe7ihOwuBbCNi6okwmwHjicfLa%2B3wEtmXvnDcArPqZMbiv%2Fpw0NZBS2C5%2B3Z6tfl7z2t%2FPJBsIqJPb0QY0z7xpdpIdyBWCIPK0Dj2pBbhCnnwElFDBhEKydldzD638O0yYuijcKQ3WRwEO0BHZARZip6UQXibtsBAclxTB3sio5udlarOEv3k6C1lopwPzRHbn0BbVMiAWHgEvN90EFO1KwWwubHdxLzVkMpNqGoQe30fOierYKL7dRhf29hznUGMsL33Yazw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x;https://http2.mlstatic.com/D_NQ_NP_721942-MLA49702565729_042022-V.webp;;0.08605851979345955
9;Cristal Cuarzo 20mhz Bajo Perfil Hc49/s Arduino Nubbeo;2323.0;2206.0;True;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Z2jePLQIkZEEJrO1WUKywXY1%2BwptVLKMiCRqO0Nug9MVFIRJR6DMFPhKNrDVVAaesM5sWAKTBXuapZ1vmFnHc8JY8dBcmcPwz7oDgq0Y0AsmxxRsAdXwvQvieFqXeCjbXuLyJ6tXYr305M8Ad%2FD2pPcU%2FXSwt2vhy8UNmAZ%2FAtmnjPevvtC0S%2BKd23wJ6iOpOrWaRbHBXQHr%2BCOh%2FDJRtV2dSPFGB2sahIjp%2BemP90oWbM8vMWS3kkPtmTkzmPAYJbbWMkaQT9TO2fDIez0qacwmRbJPWHWWkJDGm5WKp9NsnZse1GEqYMPcuuKeef8tuLIXhjyfQjgk6zuwgSaemAFgDVe%2FwtgLWrV6h4KZ2DZaEUwqKGOL2NgF9kJdsqvi7jcJ%2BmOxxsOtVL1mB%2BylWEGk6wserO35sh3JI5%2FPUoOA5KOyaekA4PdLUj%2BA8wAL6%2B2dUpAFyQ7dUDZqXqJJzdkgRYMrT%2Bn6zbCNM8MpjuA79yS5gGs1SZaw2%2B82MAVjfSK4SZnt1r5OdhOFKYn6AxCW3i%2FYXcfjj6eH54jo6Il1jmVOsMWdT23XB7vZt97bJKEwih05G1v3MjPqlY0c159HR5fuqxAeB6t7%2FSREywFwBwdzlR31GB6yLltce15OMlDnWp8hMW9LejjTxt72ysgX%2FB10euExtlKS6bFdcWdRKN4WOUgJDKXLPKvVRISkX8Ka%2BXXwmkM%2BObW%2B6bkBW44%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x;https://http2.mlstatic.com/D_NQ_NP_633317-MLA49728735132_042022-V.webp;;0.08605851979345955
